,datas,exames
0,2020-01-01 00:00:00,2
1,2020-01-02 00:00:00,2
2,2020-01-03 00:00:00,2
3,2020-01-04 00:00:00,1
4,2020-01-05 00:00:00,1
5,2020-01-07 00:00:00,3
6,2020-01-08 00:00:00,2
7,2020-01-10 00:00:00,4
8,2020-01-11 00:00:00,2
9,2020-01-13 00:00:00,1
10,2020-01-14 00:00:00,1
11,2020-01-15 00:00:00,1
12,2020-01-16 00:00:00,1
13,2020-01-17 00:00:00,2
14,2020-01-18 00:00:00,2
15,2020-01-20 00:00:00,5
16,2020-01-22 00:00:00,1
17,2020-01-23 00:00:00,1
18,2020-01-24 00:00:00,2
19,2020-01-26 00:00:00,2
20,2020-01-27 00:00:00,1
21,2020-01-28 00:00:00,1
22,2020-01-29 00:00:00,4
23,2020-01-30 00:00:00,7
24,2020-01-31 00:00:00,3
25,2020-02-01 00:00:00,6
26,2020-02-02 00:00:00,8
27,2020-02-03 00:00:00,12
28,2020-02-04 00:00:00,3
29,2020-02-05 00:00:00,4
30,2020-02-06 00:00:00,7
31,2020-02-07 00:00:00,5
32,2020-02-08 00:00:00,2
33,2020-02-09 00:00:00,3
34,2020-02-10 00:00:00,2
35,2020-02-11 00:00:00,3
36,2020-02-12 00:00:00,8
37,2020-02-13 00:00:00,4
38,2020-02-14 00:00:00,3
39,2020-02-15 00:00:00,10
40,2020-02-16 00:00:00,12
41,2020-02-17 00:00:00,6
42,2020-02-18 00:00:00,4
43,2020-02-19 00:00:00,6
44,2020-02-20 00:00:00,6
45,2020-02-21 00:00:00,4
46,2020-02-22 00:00:00,14
47,2020-02-23 00:00:00,2
48,2020-02-24 00:00:00,3
49,2020-02-25 00:00:00,8
50,2020-02-26 00:00:00,12
51,2020-02-27 00:00:00,7
52,2020-02-28 00:00:00,11
53,2020-02-29 00:00:00,1
54,2020-03-01 00:00:00,12
55,2020-03-02 00:00:00,21
56,2020-03-03 00:00:00,10
57,2020-03-04 00:00:00,7
58,2020-03-05 00:00:00,7
59,2020-03-06 00:00:00,12
60,2020-03-07 00:00:00,10
61,2020-03-08 00:00:00,9
62,2020-03-09 00:00:00,11
63,2020-03-10 00:00:00,9
64,2020-03-11 00:00:00,26
65,2020-03-12 00:00:00,31
66,2020-03-13 00:00:00,35
67,2020-03-14 00:00:00,66
68,2020-03-15 00:00:00,71
69,2020-03-16 00:00:00,262
70,2020-03-17 00:00:00,246
71,2020-03-18 00:00:00,440
72,2020-03-18 03:00:00,1
73,2020-03-18 06:00:00,1
74,2020-03-19 00:00:00,501
75,2020-03-20 00:00:00,631
76,2020-03-21 00:00:00,623
77,2020-03-21 03:00:00,1
78,2020-03-21 06:00:00,2
79,2020-03-22 00:00:00,577
80,2020-03-22 03:00:00,2
81,2020-03-22 06:00:00,2
82,2020-03-23 00:00:00,836
83,2020-03-23 03:00:00,1
84,2020-03-23 06:00:00,4
85,2020-03-24 00:00:00,960
86,2020-03-24 03:00:00,1
87,2020-03-24 06:00:00,7
88,2020-03-24 09:00:00,2
89,2020-03-24 12:00:00,1
90,2020-03-25 00:00:00,809
91,2020-03-25 03:00:00,1
92,2020-03-25 06:00:00,3
93,2020-03-26 00:00:00,868
94,2020-03-26 03:00:00,2
95,2020-03-26 06:00:00,4
96,2020-03-26 09:00:00,1
97,2020-03-26 12:00:00,1
98,2020-03-27 00:00:00,855
99,2020-03-27 03:00:00,4
100,2020-03-27 06:00:00,3
101,2020-03-27 15:00:00,1
102,2020-03-28 00:00:00,564
103,2020-03-28 03:00:00,2
104,2020-03-28 06:00:00,4
105,2020-03-29 00:00:00,483
106,2020-03-29 03:00:00,1
107,2020-03-29 06:00:00,7
108,2020-03-29 09:00:00,1
109,2020-03-29 18:00:00,1
110,2020-03-30 00:00:00,931
111,2020-03-30 03:00:00,8
112,2020-03-30 06:00:00,6
113,2020-03-31 00:00:00,727
114,2020-03-31 03:00:00,6
115,2020-03-31 06:00:00,3
116,2020-04-01 00:00:00,687
117,2020-04-01 03:00:00,7
118,2020-04-01 06:00:00,4
119,2020-04-01 09:00:00,1
120,2020-04-02 00:00:00,650
121,2020-04-02 03:00:00,2
122,2020-04-02 06:00:00,3
123,2020-04-02 09:00:00,1
124,2020-04-03 00:00:00,642
125,2020-04-03 03:00:00,9
126,2020-04-03 06:00:00,4
127,2020-04-03 12:00:00,1
128,2020-04-03 18:00:00,1
129,2020-04-04 00:00:00,491
130,2020-04-04 03:00:00,5
131,2020-04-04 06:00:00,2
132,2020-04-04 12:00:00,2
133,2020-04-04 15:00:00,1
134,2020-04-05 00:00:00,345
135,2020-04-05 03:00:00,4
136,2020-04-05 06:00:00,2
137,2020-04-05 09:00:00,1
138,2020-04-05 21:00:00,1
139,2020-04-06 00:00:00,807
140,2020-04-06 03:00:00,5
141,2020-04-06 06:00:00,8
142,2020-04-06 09:00:00,1
143,2020-04-06 12:00:00,2
144,2020-04-07 00:00:00,839
145,2020-04-07 03:00:00,8
146,2020-04-07 06:00:00,3
147,2020-04-07 09:00:00,1
148,2020-04-08 00:00:00,896
149,2020-04-08 03:00:00,9
150,2020-04-08 06:00:00,3
151,2020-04-08 09:00:00,1
152,2020-04-08 12:00:00,1
153,2020-04-09 00:00:00,1006
154,2020-04-09 03:00:00,10
155,2020-04-09 06:00:00,3
156,2020-04-09 09:00:00,1
157,2020-04-10 00:00:00,642
158,2020-04-10 03:00:00,5
159,2020-04-10 06:00:00,6
160,2020-04-10 09:00:00,1
161,2020-04-11 00:00:00,749
162,2020-04-11 03:00:00,10
163,2020-04-11 06:00:00,6
164,2020-04-11 09:00:00,3
165,2020-04-12 00:00:00,529
166,2020-04-12 03:00:00,6
167,2020-04-12 06:00:00,3
168,2020-04-12 09:00:00,1
169,2020-04-12 15:00:00,1
170,2020-04-13 00:00:00,1202
171,2020-04-13 03:00:00,11
172,2020-04-13 06:00:00,8
173,2020-04-13 09:00:00,2
174,2020-04-13 12:00:00,1
175,2020-04-13 18:00:00,1
176,2020-04-14 00:00:00,1344
177,2020-04-14 03:00:00,13
178,2020-04-14 06:00:00,7
179,2020-04-14 09:00:00,6
180,2020-04-15 00:00:00,1292
181,2020-04-15 03:00:00,19
182,2020-04-15 06:00:00,5
183,2020-04-15 09:00:00,3
184,2020-04-15 12:00:00,3
185,2020-04-16 00:00:00,1378
186,2020-04-16 03:00:00,10
187,2020-04-16 06:00:00,7
188,2020-04-16 15:00:00,1
189,2020-04-17 00:00:00,1487
190,2020-04-17 03:00:00,8
191,2020-04-17 06:00:00,7
192,2020-04-17 09:00:00,1
193,2020-04-17 12:00:00,2
194,2020-04-17 15:00:00,3
195,2020-04-18 00:00:00,964
196,2020-04-18 03:00:00,12
197,2020-04-18 06:00:00,9
198,2020-04-18 09:00:00,4
199,2020-04-18 12:00:00,2
200,2020-04-18 18:00:00,2
201,2020-04-19 00:00:00,667
202,2020-04-19 03:00:00,10
203,2020-04-19 06:00:00,6
204,2020-04-19 15:00:00,1
205,2020-04-19 18:00:00,1
206,2020-04-19 21:00:00,1
207,2020-04-20 00:00:00,1879
208,2020-04-20 03:00:00,19
209,2020-04-20 06:00:00,12
210,2020-04-20 15:00:00,1
211,2020-04-21 00:00:00,1088
212,2020-04-21 03:00:00,17
213,2020-04-21 06:00:00,6
214,2020-04-21 09:00:00,1
215,2020-04-21 12:00:00,1
216,2020-04-21 15:00:00,1
217,2020-04-22 00:00:00,1897
218,2020-04-22 03:00:00,17
219,2020-04-22 06:00:00,6
220,2020-04-22 09:00:00,1
221,2020-04-22 15:00:00,2
222,2020-04-23 00:00:00,2218
223,2020-04-23 03:00:00,21
224,2020-04-23 06:00:00,17
225,2020-04-23 09:00:00,5
226,2020-04-23 15:00:00,1
227,2020-04-24 00:00:00,2198
228,2020-04-24 03:00:00,26
229,2020-04-24 06:00:00,13
230,2020-04-24 09:00:00,5
231,2020-04-24 12:00:00,3
232,2020-04-24 15:00:00,1
233,2020-04-25 00:00:00,1330
234,2020-04-25 03:00:00,23
235,2020-04-25 06:00:00,13
236,2020-04-25 09:00:00,9
237,2020-04-25 12:00:00,1
238,2020-04-26 00:00:00,1043
239,2020-04-26 03:00:00,26
240,2020-04-26 06:00:00,13
241,2020-04-26 09:00:00,4
242,2020-04-26 12:00:00,1
243,2020-04-26 15:00:00,1
244,2020-04-26 21:00:00,1
245,2020-04-27 00:00:00,2286
246,2020-04-27 03:00:00,23
247,2020-04-27 06:00:00,25
248,2020-04-27 09:00:00,8
249,2020-04-27 12:00:00,1
250,2020-04-27 15:00:00,1
251,2020-04-28 00:00:00,7503
252,2020-04-28 03:00:00,39
253,2020-04-28 06:00:00,26
254,2020-04-28 09:00:00,14
255,2020-04-28 12:00:00,1
256,2020-04-28 15:00:00,1
257,2020-04-28 18:00:00,2
258,2020-04-29 00:00:00,2668
259,2020-04-29 03:00:00,38
260,2020-04-29 06:00:00,24
261,2020-04-29 09:00:00,5
262,2020-04-29 12:00:00,2
263,2020-04-30 00:00:00,3309
264,2020-04-30 03:00:00,30
265,2020-04-30 06:00:00,35
266,2020-04-30 09:00:00,5
267,2020-04-30 12:00:00,1
268,2020-04-30 15:00:00,1
269,2020-05-01 00:00:00,2713
270,2020-05-01 03:00:00,50
271,2020-05-01 06:00:00,22
272,2020-05-01 09:00:00,7
273,2020-05-01 12:00:00,1
274,2020-05-01 15:00:00,5
275,2020-05-02 00:00:00,2021
276,2020-05-02 03:00:00,31
277,2020-05-02 06:00:00,16
278,2020-05-02 09:00:00,5
279,2020-05-02 12:00:00,5
280,2020-05-02 18:00:00,1
281,2020-05-03 00:00:00,1283
282,2020-05-03 03:00:00,39
283,2020-05-03 06:00:00,18
284,2020-05-03 09:00:00,10
285,2020-05-03 12:00:00,4
286,2020-05-04 00:00:00,3916
287,2020-05-04 03:00:00,36
288,2020-05-04 06:00:00,28
289,2020-05-04 09:00:00,10
290,2020-05-04 12:00:00,9
291,2020-05-04 15:00:00,3
292,2020-05-04 21:00:00,1
293,2020-05-05 00:00:00,3908
294,2020-05-05 03:00:00,38
295,2020-05-05 06:00:00,49
296,2020-05-05 09:00:00,14
297,2020-05-05 12:00:00,2
298,2020-05-05 18:00:00,1
299,2020-05-06 00:00:00,3718
300,2020-05-06 03:00:00,45
301,2020-05-06 06:00:00,37
302,2020-05-06 09:00:00,11
303,2020-05-06 12:00:00,13
304,2020-05-07 00:00:00,3743
305,2020-05-07 03:00:00,33
306,2020-05-07 06:00:00,28
307,2020-05-07 09:00:00,25
308,2020-05-07 12:00:00,7
309,2020-05-07 15:00:00,6
310,2020-05-07 18:00:00,1
311,2020-05-08 00:00:00,4172
312,2020-05-08 03:00:00,39
313,2020-05-08 06:00:00,37
314,2020-05-08 09:00:00,27
315,2020-05-08 12:00:00,10
316,2020-05-08 15:00:00,3
317,2020-05-08 21:00:00,1
318,2020-05-09 00:00:00,2029
319,2020-05-09 03:00:00,55
320,2020-05-09 06:00:00,50
321,2020-05-09 09:00:00,18
322,2020-05-09 12:00:00,10
323,2020-05-09 15:00:00,1
324,2020-05-09 18:00:00,2
325,2020-05-09 21:00:00,1
326,2020-05-10 00:00:00,1241
327,2020-05-10 03:00:00,37
328,2020-05-10 06:00:00,33
329,2020-05-10 09:00:00,20
330,2020-05-10 12:00:00,11
331,2020-05-10 15:00:00,3
332,2020-05-10 21:00:00,1
333,2020-05-11 00:00:00,4639
334,2020-05-11 03:00:00,47
335,2020-05-11 06:00:00,59
336,2020-05-11 09:00:00,32
337,2020-05-11 12:00:00,9
338,2020-05-11 15:00:00,4
339,2020-05-11 18:00:00,4
340,2020-05-12 00:00:00,4944
341,2020-05-12 03:00:00,35
342,2020-05-12 06:00:00,50
343,2020-05-12 09:00:00,18
344,2020-05-12 12:00:00,14
345,2020-05-12 15:00:00,3
346,2020-05-12 18:00:00,3
347,2020-05-12 21:00:00,3
348,2020-05-13 00:00:00,5234
349,2020-05-13 03:00:00,47
350,2020-05-13 06:00:00,57
351,2020-05-13 09:00:00,33
352,2020-05-13 12:00:00,16
353,2020-05-13 15:00:00,9
354,2020-05-13 18:00:00,2
355,2020-05-14 00:00:00,5721
356,2020-05-14 03:00:00,39
357,2020-05-14 06:00:00,38
358,2020-05-14 09:00:00,29
359,2020-05-14 12:00:00,7
360,2020-05-14 15:00:00,6
361,2020-05-14 18:00:00,4
362,2020-05-14 21:00:00,5
363,2020-05-15 00:00:00,5618
364,2020-05-15 03:00:00,36
365,2020-05-15 06:00:00,42
366,2020-05-15 09:00:00,20
367,2020-05-15 12:00:00,11
368,2020-05-15 15:00:00,3
369,2020-05-15 18:00:00,4
370,2020-05-16 00:00:00,2368
371,2020-05-16 03:00:00,19
372,2020-05-16 06:00:00,42
373,2020-05-16 09:00:00,20
374,2020-05-16 12:00:00,10
375,2020-05-16 15:00:00,3
376,2020-05-16 18:00:00,1
377,2020-05-16 21:00:00,1
378,2020-05-17 00:00:00,1755
379,2020-05-17 03:00:00,28
380,2020-05-17 06:00:00,46
381,2020-05-17 09:00:00,16
382,2020-05-17 12:00:00,11
383,2020-05-17 15:00:00,5
384,2020-05-17 18:00:00,2
385,2020-05-17 21:00:00,1
386,2020-05-18 00:00:00,6429
387,2020-05-18 03:00:00,46
388,2020-05-18 06:00:00,44
389,2020-05-18 09:00:00,25
390,2020-05-18 12:00:00,9
391,2020-05-18 15:00:00,4
392,2020-05-18 21:00:00,1
393,2020-05-19 00:00:00,5786
394,2020-05-19 03:00:00,44
395,2020-05-19 06:00:00,40
396,2020-05-19 09:00:00,21
397,2020-05-19 12:00:00,9
398,2020-05-19 15:00:00,10
399,2020-05-19 18:00:00,3
400,2020-05-20 00:00:00,6334
401,2020-05-20 03:00:00,37
402,2020-05-20 06:00:00,41
403,2020-05-20 09:00:00,23
404,2020-05-20 12:00:00,17
405,2020-05-20 15:00:00,3
406,2020-05-20 18:00:00,2
407,2020-05-21 00:00:00,5800
408,2020-05-21 03:00:00,28
409,2020-05-21 06:00:00,52
410,2020-05-21 09:00:00,21
411,2020-05-21 12:00:00,11
412,2020-05-21 15:00:00,6
413,2020-05-21 18:00:00,2
414,2020-05-22 00:00:00,6402
415,2020-05-22 03:00:00,33
416,2020-05-22 06:00:00,38
417,2020-05-22 09:00:00,21
418,2020-05-22 12:00:00,5
419,2020-05-22 15:00:00,6
420,2020-05-23 00:00:00,2409
421,2020-05-23 03:00:00,29
422,2020-05-23 06:00:00,28
423,2020-05-23 09:00:00,12
424,2020-05-23 12:00:00,2
425,2020-05-23 15:00:00,3
426,2020-05-23 18:00:00,3
427,2020-05-23 21:00:00,1
428,2020-05-24 00:00:00,1193
429,2020-05-24 03:00:00,21
430,2020-05-24 06:00:00,33
431,2020-05-24 09:00:00,11
432,2020-05-24 12:00:00,7
433,2020-05-24 15:00:00,3
434,2020-05-25 00:00:00,7062
435,2020-05-25 03:00:00,23
436,2020-05-25 06:00:00,40
437,2020-05-25 09:00:00,17
438,2020-05-25 12:00:00,6
439,2020-05-25 15:00:00,1
440,2020-05-25 18:00:00,2
441,2020-05-25 21:00:00,1
442,2020-05-26 00:00:00,6004
443,2020-05-26 03:00:00,39
444,2020-05-26 06:00:00,44
445,2020-05-26 09:00:00,16
446,2020-05-26 12:00:00,10
447,2020-05-26 15:00:00,3
448,2020-05-26 18:00:00,2
449,2020-05-27 00:00:00,5918
450,2020-05-27 03:00:00,30
451,2020-05-27 06:00:00,27
452,2020-05-27 09:00:00,21
453,2020-05-27 12:00:00,3
454,2020-05-27 15:00:00,1
455,2020-05-27 18:00:00,1
456,2020-05-28 00:00:00,6182
457,2020-05-28 03:00:00,35
458,2020-05-28 06:00:00,25
459,2020-05-28 09:00:00,8
460,2020-05-28 12:00:00,4
461,2020-05-28 15:00:00,2
462,2020-05-28 18:00:00,1
463,2020-05-29 00:00:00,7007
464,2020-05-29 03:00:00,30
465,2020-05-29 06:00:00,24
466,2020-05-29 09:00:00,11
467,2020-05-29 12:00:00,4
468,2020-05-29 15:00:00,3
469,2020-05-29 18:00:00,2
470,2020-05-30 00:00:00,2719
471,2020-05-30 03:00:00,12
472,2020-05-30 06:00:00,15
473,2020-05-30 09:00:00,9
474,2020-05-30 12:00:00,4
475,2020-05-30 15:00:00,2
476,2020-05-30 18:00:00,2
477,2020-05-31 00:00:00,1379
478,2020-05-31 03:00:00,16
479,2020-05-31 06:00:00,16
480,2020-05-31 09:00:00,6
481,2020-05-31 15:00:00,2
482,2020-06-01 00:00:00,7431
483,2020-06-01 03:00:00,22
484,2020-06-01 06:00:00,27
485,2020-06-01 09:00:00,11
486,2020-06-01 12:00:00,6
487,2020-06-01 15:00:00,4
488,2020-06-01 18:00:00,2
489,2020-06-02 00:00:00,7003
490,2020-06-02 03:00:00,22
491,2020-06-02 06:00:00,28
492,2020-06-02 09:00:00,5
493,2020-06-02 12:00:00,4
494,2020-06-02 15:00:00,1
495,2020-06-02 18:00:00,1
496,2020-06-02 21:00:00,2
497,2020-06-03 00:00:00,6995
498,2020-06-03 03:00:00,22
499,2020-06-03 06:00:00,23
500,2020-06-03 09:00:00,7
501,2020-06-03 12:00:00,2
502,2020-06-03 15:00:00,2
503,2020-06-04 00:00:00,6809
504,2020-06-04 03:00:00,23
505,2020-06-04 06:00:00,24
506,2020-06-04 09:00:00,15
507,2020-06-04 12:00:00,3
508,2020-06-04 15:00:00,1
509,2020-06-04 18:00:00,2
510,2020-06-05 00:00:00,7466
511,2020-06-05 03:00:00,25
512,2020-06-05 06:00:00,18
513,2020-06-05 09:00:00,13
514,2020-06-05 12:00:00,7
515,2020-06-05 15:00:00,1
516,2020-06-05 21:00:00,1
517,2020-06-06 00:00:00,2889
518,2020-06-06 03:00:00,12
519,2020-06-06 06:00:00,16
520,2020-06-06 09:00:00,10
521,2020-06-06 12:00:00,2
522,2020-06-06 15:00:00,1
523,2020-06-06 18:00:00,1
524,2020-06-07 00:00:00,1167
525,2020-06-07 03:00:00,15
526,2020-06-07 06:00:00,14
527,2020-06-07 09:00:00,6
528,2020-06-07 12:00:00,3
529,2020-06-07 15:00:00,1
530,2020-06-07 18:00:00,1
531,2020-06-08 00:00:00,8117
532,2020-06-08 03:00:00,25
533,2020-06-08 06:00:00,18
534,2020-06-08 09:00:00,10
535,2020-06-08 12:00:00,6
536,2020-06-08 15:00:00,3
537,2020-06-08 18:00:00,3
538,2020-06-09 00:00:00,7667
539,2020-06-09 03:00:00,32
540,2020-06-09 06:00:00,19
541,2020-06-09 09:00:00,10
542,2020-06-09 12:00:00,4
543,2020-06-09 15:00:00,1
544,2020-06-09 18:00:00,2
545,2020-06-09 21:00:00,1
546,2020-06-10 00:00:00,9031
547,2020-06-10 03:00:00,24
548,2020-06-10 06:00:00,19
549,2020-06-10 09:00:00,6
550,2020-06-10 12:00:00,3
551,2020-06-10 15:00:00,1
552,2020-06-10 18:00:00,1
553,2020-06-10 21:00:00,1
554,2020-06-11 00:00:00,4535
555,2020-06-11 03:00:00,12
556,2020-06-11 06:00:00,22
557,2020-06-11 09:00:00,4
558,2020-06-11 12:00:00,3
559,2020-06-11 15:00:00,3
560,2020-06-11 18:00:00,2
561,2020-06-12 00:00:00,5966
562,2020-06-12 03:00:00,28
563,2020-06-12 06:00:00,17
564,2020-06-12 09:00:00,8
565,2020-06-12 18:00:00,1
566,2020-06-13 00:00:00,2593
567,2020-06-13 03:00:00,15
568,2020-06-13 06:00:00,19
569,2020-06-13 09:00:00,6
570,2020-06-13 12:00:00,4
571,2020-06-13 15:00:00,1
572,2020-06-13 21:00:00,1
573,2020-06-14 00:00:00,1218
574,2020-06-14 03:00:00,18
575,2020-06-14 06:00:00,13
576,2020-06-14 09:00:00,7
577,2020-06-14 12:00:00,1
578,2020-06-14 15:00:00,1
579,2020-06-15 00:00:00,9468
580,2020-06-15 03:00:00,21
581,2020-06-15 06:00:00,16
582,2020-06-15 09:00:00,6
583,2020-06-15 15:00:00,1
584,2020-06-15 21:00:00,1
585,2020-06-16 00:00:00,8625
586,2020-06-16 03:00:00,19
587,2020-06-16 06:00:00,31
588,2020-06-16 09:00:00,10
589,2020-06-16 15:00:00,2
590,2020-06-16 18:00:00,1
591,2020-06-17 00:00:00,8768
592,2020-06-17 03:00:00,24
593,2020-06-17 06:00:00,13
594,2020-06-17 09:00:00,5
595,2020-06-17 12:00:00,1
596,2020-06-17 15:00:00,3
597,2020-06-17 18:00:00,1
598,2020-06-18 00:00:00,8736
599,2020-06-18 03:00:00,19
600,2020-06-18 06:00:00,14
601,2020-06-18 09:00:00,9
